sec_code,company_name,as_of,source_url
9434,SOFTBANK CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9984,SOFTBANK GROUP CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
5831,"SHIZUOKA FINANCIAL GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7186,"YOKOHAMA FINANCIAL GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8304,"AOZORA BANK, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8306,"MITSUBISHI UFJ FINANCIAL GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8308,"RESONA HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8309,"SUMITOMO MITSUI TRUST GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8316,"SUMITOMO MITSUI FINANCIAL GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8331,"THE CHIBA BANK, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8354,"FUKUOKA FINANCIAL GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8411,"MIZUHO FINANCIAL GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8253,"CREDIT SAISON CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8591,ORIX CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8697,"JAPAN EXCHANGE GROUP, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8601,DAIWA SECURITIES GROUP INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8604,"NOMURA HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8630,"SOMPO HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8725,"MS&amp;AD INSURANCE GROUP HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8750,"DAI-ICHI LIFE HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8766,"TOKIO MARINE HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8795,"T&amp;D HOLDINGS, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
1332,NISSUI CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2002,NISSHIN SEIFUN GROUP INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2269,"MEIJI HOLDINGS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2282,NH FOODS LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2501,SAPPORO HOLDINGS LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2502,"ASAHI GROUP HOLDINGS, LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2503,"KIRIN HOLDINGS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2801,KIKKOMAN CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2802,"AJINOMOTO CO., INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2871,NICHIREI CORP.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2914,JAPAN TOBACCO INC.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3086,"J.FRONT RETAILING CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3092,"ZOZO, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3099,ISETAN MITSUKOSHI HOLDINGS LTD.,Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3382,"SEVEN &amp; I HOLDINGS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
7453,"RYOHIN KEIKAKU CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8233,"TAKASHIMAYA CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8252,"MARUI GROUP CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
8267,"AEON CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9843,"NITORI HOLDINGS CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
9983,"FAST RETAILING CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2413,"M3, INC.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
2432,"DENA CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
3659,"NEXON CO., LTD.",Feb/02/2026,https://indexes.nikkei.co.jp/en/nkave/index/component
